SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,737 Loch Highlands Dr,Raleigh,NC,27606,925000,4,3.5,Swift Creek,4500,41382,1998,2,206,,Active,,,http://www.redfin.com/NC/Raleigh/737-Loch-Highlands-Dr-27606/home/41196435,TMLS,2413181,N,Y,35.7134388,-78.7736318
MLS Listing,,Single Family Residential,1044 Ileagnes Rd,Raleigh,NC,27603,399900,3,2.5,Renaissance Park,2080,10890,2011,2,192,132,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/1044-Ileagnes-Rd-27603/home/41332076,TMLS,2413178,N,Y,35.73822,-78.6544787
MLS Listing,,Single Family Residential,5048 Avent Ferry Rd,Raleigh,NC,27606,875000,4,3.5,Wake,3099,91040,1963,2,282,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/5048-Avent-Ferry-Rd-27606/home/41099792,TMLS,2413158,N,Y,35.7585585,-78.717528
MLS Listing,,Single Family Residential,8513 Crowder Rd,Raleigh,NC,27603,599000,4,2.5,Nottingham Forest,2531,47044,1984,2,237,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/8513-Crowder-Rd-27603/home/41134989,TMLS,2413132,N,Y,35.6472393,-78.6398294
MLS Listing,,Single Family Residential,5925 Wessel Way,Raleigh,NC,27610,320000,5,3,Chastain,2412,7405,2003,2,133,14,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/5925-Wessel-Way-27610/home/41297981,TMLS,2413145,N,Y,35.7344331,-78.5400201
MLS Listing,,Single Family Residential,700 Hanska Way,Raleigh,NC,27610,260000,3,2.5,Village Lakes,1450,5227,2001,2,179,47,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/700-Hanska-Way-27610/home/41233427,TMLS,2413117,N,Y,35.7845705,-78.5524434
MLS Listing,,Single Family Residential,5804 Vintage Oak Ln,Raleigh,NC,27613,1799000,4,6,Wake,5619,43995,2022,2,320,,Active,,,http://www.redfin.com/NC/RALEIGH/5804-VINTAGE-OAK-LN-27613/home/174380936,TMLS,2413105,N,Y,35.940096,-78.700312
MLS Listing,,Single Family Residential,824 Coleman St,Raleigh,NC,27610,450000,3,2,Quarry Hills,1318,6098,1950,2,341,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/824-Coleman-St-27610/home/41113961,TMLS,2413104,N,Y,35.7685489,-78.6228726
MLS Listing,,Townhouse,5746 Corbon Crest Ln,Raleigh,NC,27612,265000,2,2.5,Delta Ridge,1428,1306,2000,2,186,186,Active,,,http://www.redfin.com/NC/Raleigh/5746-Corbon-Crest-Ln-27612/home/41267384,TMLS,2413101,N,Y,35.8572364,-78.7173176
MLS Listing,,Single Family Residential,200 W Roanoke Park Dr,Raleigh,NC,27608,950000,4,3,Five Points,2838,7840,1930,2,335,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/200-W-Roanoke-Park-Dr-27608/home/41081265,TMLS,2413078,N,Y,35.8035195,-78.6396743
MLS Listing,,Townhouse,10450 Dapping Dr,Raleigh,NC,27614,315000,2,2,Raven Pointe,1606,2613,2001,2,196,199,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/10450-Dapping-Dr-27614/home/41257014,TMLS,2413070,N,Y,35.9143064,-78.5940948
MLS Listing,,Single Family Residential,8316 Trumpetor Way,Raleigh,NC,27613,385000,3,2,Eastwinds,1940,7405,1997,2,198,25,Active,,,http://www.redfin.com/NC/Raleigh/8316-Trumpetor-Way-27613/home/41216376,TMLS,2413055,N,Y,35.8974791,-78.7275378
MLS Listing,,Single Family Residential,1013 Portico Pl,Raleigh,NC,27603,389000,3,2.5,Nathans Landing,2357,30492,2000,3,165,4,Active,,,http://www.redfin.com/NC/Raleigh/1013-Portico-Pl-27603/home/41240420,TMLS,2413041,N,Y,35.5955682,-78.6533928
MLS Listing,,Townhouse,8013 Sycamore Hill Ln,Raleigh,NC,27612,319900,2,3,Townes at Umstead Park,1599,1742,2006,3,200,149,Active,,,http://www.redfin.com/NC/Raleigh/8013-Sycamore-Hill-Ln-27612/home/41357910,TMLS,2413037,N,Y,35.8803733,-78.7436687
MLS Listing,,Single Family Residential,4824 Tommans Trl,Raleigh,NC,27616,284362,3,2,Park at Valley Stream,1458,5227,2003,3,195,28,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/4824-Tommans-Trl-27616/home/41271693,TMLS,2413029,N,Y,35.8410653,-78.5622036
MLS Listing,,Single Family Residential,9109 Hometown Dr,Raleigh,NC,27615-3162,824900,5,4.5,Bent Tree,3830,24829,1994,3,215,115,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/9109-Hometown-Dr-27615/home/41193488,TMLS,2413014,N,Y,35.9037876,-78.6374135
MLS Listing,,Townhouse,10020 Blackwell Dr,Raleigh,NC,27617-4270,289900,2,2.5,Wake,1353,3049,2006,3,214,130,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/10020-Blackwell-Dr-27617/home/41304655,TMLS,2413012,N,Y,35.9055803,-78.8084094
MLS Listing,,Townhouse,4624 Townesbury Ln,Raleigh,NC,27612,245000,2,2.5,Richland Townes,1212,1306,1986,3,202,187,Active,,,http://www.redfin.com/NC/Raleigh/4624-Townesbury-Ln-27612/home/41177858,TMLS,2413007,N,Y,35.8350314,-78.7173176
MLS Listing,,Single Family Residential,504 Frank St,Raleigh,NC,27604,419900,2,1,Mordecai,910,6098,1938,3,461,,Active,October-16-2021 01:00 PM,October-16-2021 03:00 PM,http://www.redfin.com/NC/Raleigh/504-Frank-St-27604/home/41090993,TMLS,2412998,N,Y,35.7960882,-78.6274833
MLS Listing,,Single Family Residential,5717 Winthrop Dr,Raleigh,NC,27612,575000,4,2.5,Brookhaven,2557,23958,1963,3,225,,Pre On-Market,October-16-2021 12:00 PM,October-16-2021 02:00 PM,http://www.redfin.com/NC/Raleigh/5717-Winthrop-Dr-27612/home/41107341,TMLS,2412986,N,Y,35.8581227,-78.6901953
MLS Listing,,Single Family Residential,3964 White Kestrel Dr,Raleigh,NC,27616-9795,365000,3,2.5,Massey Preserve,2196,6534,2016,3,166,50,Active,,,http://www.redfin.com/NC/Raleigh/3964-White-Kestrel-Dr-27616/home/103925631,TMLS,2412983,N,Y,35.8675941,-78.5233793
MLS Listing,,Single Family Residential,5208 Bridget Dr,Raleigh,NC,27603,399900,3,3.5,42 West,2618,43560,1988,3,153,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/5208-Bridget-Dr-27603/home/171421595,TMLS,2412979,N,Y,35.5936806,-78.612941
MLS Listing,,Single Family Residential,5501 Tarrywood Ct,Raleigh,NC,27609,575000,3,2.5,Cedar Hills Estates,1927,13503,1970,3,298,,Active,,,http://www.redfin.com/NC/Raleigh/5501-Tarrywood-Ct-27609/home/41080718,TMLS,2412975,N,Y,35.8536802,-78.6316063
MLS Listing,,Single Family Residential,4113 Mackinac Island Ln,Raleigh,NC,27610,274900,3,2,Battle Ridge,1286,8276,1999,3,214,13,Active,,,http://www.redfin.com/NC/Raleigh/4113-Mackinac-Island-Ln-27610/home/41241134,TMLS,2412971,N,Y,35.7228389,-78.5332754
MLS Listing,,Condo/Co-op,625 New Bern Ave #104,Raleigh,NC,27601-1546,555000,3,3.5,Wake,1617,,2021,3,343,225,Active,,,http://www.redfin.com/NC/Raleigh/625-New-Bern-Ave-27601/unit-104/home/176709137,TMLS,2412965,N,Y,35.7803411,-78.6275944
MLS Listing,,Single Family Residential,7317 Shellburne Dr,Raleigh,NC,27615,315000,3,2.5,Village on the Green,1475,8712,1983,3,214,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/7317-Shellburne-Dr-27612/home/41144389,TMLS,2412964,N,Y,35.873022,-78.6554537
